"","Souche","X1","X2","X3","X4","X6","X7","X14","X16","X19","X21","X24","X25","X26","X27","X29","X30","X31","X32","X34","X35","X38","X41","X43","X51","X52","X53","X54","X55","X56","X58","X61","X62","X63","X68","X70","X72","X73","X74","X77","X78","X79","X81","X82","X83","X84","X85","X86","X87","X89","X90","X102","X108","X110","X118","X122","X123","X127","X128","X137","X143","X164","X169","X170","X171","X172","X173"
"146","Pa",0,0,0,0,113,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,409,0,0,0,958.5,0,386,0,0,0,217,0,933.5,0,117,0,1119.5,0,0,897,0,1354,92,0,0,8,388,0,0,0,0,3068,0,0,30,0,1192,0,272.5,315.5,0,0,861.5,0,0,0
"147","Pa",0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,5,0,0,0,0,0,0,0,110,0,0,0,2781,0,0,328.5,0,14457,0,0,0,781,489,0,0,0,0,19564,0,0,0,0,3282.5,0,98,287,0,0,113,0,0,0
"148","Pa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,567,0,0,0,198,0,196,0,0,0,0,0,491,0,0,0,210,0,0,295,0,0,0,0,0,0,78.5,0,0,0,0,709,0,0,0,0,0,0,111,205,0,0,386.5,0,0,0
"149","Pa",0,0,93,0,381,0,0,0,0,0,0,0,0,0,0,0,0,0,208,0,0,0,0,0,109,0,0,0,0,0,0,0,797,18,289,0,3283.5,197,0,190.5,3250,28989,4946.5,2989,925.5,1873,6854,297.5,0,6317.5,0,30191,0,0,186,32,6289,0,6,0,0,96,0,0,0,0
"150","Pa",0,0,0,0,195,0,0,0,0,0,0,0,0,0,0,0,0,0,11.5,170,4018.5,0,0,0,437,0,686,0,0,0,603,191,3274.5,0,1001,0,5009.5,192.5,0,11727,207,929,488.5,0,0,3781.5,12440,0,0,0,0,9588,0,0,888.5,0,2528,0,219.5,2761,0,0,3242,0,0,0
"151","Pa",0,0,0,0,1571,0,0,0,0,0,0,0,0,0,0,0,0,0,96,1183,5862.5,0,0,0,807,0,1302.5,0,0,0,1112.5,313.5,5551.5,0,2028,0,8803.5,199,0,21023,691,2439,1092,0,0,6909,28874.5,0,0,265.5,0,7351,498.5,0,1279.5,7.5,2331.5,0,535.5,10300.5,0,0,6241,0,0,0
"152","Pa",0,0,0,0,561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,244,3478,0,0,0,294,0,620,0,0,0,1149,0,2767,0,1062,0,4043,261.5,0,10469,208,947.5,286,0,0,3778,10527,0,0,0,0,17944,108.5,0,572,0,5344,0,112,2992,0,0,2656,0,0,0
"153","Pa",0,0,0,0,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,2036.5,0,0,0,103,0,290.5,0,0,0,587,0,1651,0,671.5,0,2514,0,0,6950,0,558,159.5,0,0,2182,7050,0,0,0,0,10566,0,0,299,0,3032,0,0,1837.5,0,0,1617.5,0,0,0
"154","Pa",0,0,0,0,1359.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0,194.5,820.5,9552,0,0,0,671.5,0,1341.5,0,0,0,2541,0,4785,0,1214.5,0,9872.5,1311,0,20311,0,2913,1497,0,0,6551,31419.5,0,107,273,0,27307.5,1001,0,1167,0,10758,0,681.5,10564,0,0,4961,0,0,0
"155","Pa",0,0,0,0,1179,0,0,0,0,0,0,0,0,0,0,0,0,0,295,796,6371.5,0,0,0,381,0,1012,0,0,0,2102.5,0,3812.5,0,2217,0,7457,1681.5,0,19136,0,2167,1220,0,0,7512,23474,0,101,264,0,21052.5,885,0,978,0,9647,0,384.5,5861,0,0,4749,0,0,0
